SEd,"Amarakoṣaḥ ‘Sudhā’saṃskṛtahindīvyākhyopetaḥ (prathamakāṇḍam) (Viśvanāthajhā 1969)"
VaiEd,"Amarakośaḥ kṛṣṇamitraviracitayā saṃskṛtaṭīkayā vaikuṇṭhīhindīvyākhyā āṅgalabhāṣānuvādena ca samalaṅkṛtaḥ [Vaikuṇṭhī only] (Satyadeva Miśra 2005)"
STVEd,"Amarakōṣamu saṃskṛtāṃdhra vivaraṇa samētamu (ed. Calamacarla Vēṅkaṭa Śēṣācāryulu 1989)"
KKŚEd,"Nāma-liṅgānuśāsana kiṃvā Amara-kośa (Keśavarāma Ka. Śāstrī 1976)"
DhKKhEd,"Amara koṣa, gujarātī vivecana (Dharmacanda Kevalacanda Khaṃḍola, ed. Harṣavadana Trivedī 2016)"
VREd,"Parīkṣā-praśnottarasahitaḥ Amarakośaḥ, savimarśa ‘rucirā’ hindī-ṭīkā-ṭippaṇīvibhūṣitaḥ (Ḍām̐ Sudhākara Mālavīyaḥ 1983)"
Z-V45A,"V45A, marginal commentary, Devanāgarī (Zysk Collection, University of Copenhagen)"
KA321-14,"NGMPP A 321-14"
KA321-14b,"NGMPP A 321-14, loose folio at the end"
KC121-1,"NGMPP C 121-1 (commentary of Jātarūpa)"
